song,artist,date,loveSong
Hot Mess,Cobra Starship,8/1/2010,
Rain,Creed,8/1/2010,
Music Box,Eminem,8/1/2010,
Love Me,Justin Bieber,8/1/2010,1
American Honey,Lady Antebellum,8/1/2010,
Shots,LMFAO Featuring Lil Jon,8/1/2010,
Vanilla Twilight,Owl City,8/1/2010,1
Funhouse,P!nk,8/1/2010,
Naturally,Selena Gomez & The Scene,8/1/2010,
Falling Down,Selena Gomez & The Scene,8/1/2010,
Steady Mobbin',Young Money Featuring Gucci Mane,8/1/2010,
Temporary Home,Carrie Underwood,15/1/2010,
Drop The World,Lil Wayne Featuring Eminem,15/1/2010,
A Little More Country Than That,Easton Corbin,22/1/2010,
Your Love Is My Drug,Ke$ha,22/1/2010,
Take It Off,Ke$ha,22/1/2010,
Blah Blah Blah,Ke$ha Featuring 3OH!3,22/1/2010,
Love This Pain,Lady Antebellum,22/1/2010,
Say Something,Timbaland Featuring Drake,22/1/2010,
On To The Next One,Jay-Z + Swizz Beatz,29/1/2010,
'Til Summer Comes Around,Keith Urban,29/1/2010,
Ready To Love Again,Lady Antebellum,29/1/2010,
When I Look At You,Miley Cyrus,29/1/2010,
Just Breathe,Pearl Jam,29/1/2010,
Soldier Of Love,Sade,29/1/2010,
Set The Fire To The Third Bar,Snow Patrol Featuring Martha Wainwright,29/1/2010,
Highway 20 Ride,Zac Brown Band,29/1/2010,
Stranded (Haiti Mon Amour),"Jay-Z, Bono, The Edge & Rihanna",5/2/2010,
Baby,Justin Bieber Featuring Ludacris,5/2/2010,1
Hallelujah,Justin Timberlake & Matt Morris Featuring Charlie Sexton,5/2/2010,
Our Kind Of Love,Lady Antebellum,5/2/2010,
Redemption Song,Rihanna,5/2/2010,
Today Was A Fairytale,Taylor Swift,5/2/2010,1
Nothin' On You,B.o.B Featuring Bruno Mars,12/2/2010,
My City Of Ruins (Live From The Kennedy Center Honors),Eddie Vedder,12/2/2010,
Ain't Leavin Without You,Jaheim,12/2/2010,
Hurry Home,Jason Michael Carroll,12/2/2010,
Let It Be,Jennifer Hudson Featuring The Roots,12/2/2010,
All The Way Turnt Up,Roscoe Dash Featuring Soulja Boy Tell'em,12/2/2010,
Lean On Me,"Sheryl Crow, Kid Rock & Keith Urban",12/2/2010,
Breathless,Taylor Swift,12/2/2010,
You And Me,Dave Matthews Band,19/2/2010,
Lemonade,Gucci Mane,19/2/2010,
I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",19/2/2010,
F**k Today,Lil Wayne Featuring Gudda,19/2/2010,
Knockout,Lil Wayne Featuring Nicki Minaj,19/2/2010,
American Star,Lil Wayne Featuring Shanell AKA SNL,19/2/2010,
Bridge Over Troubled Water    ,Mary J. Blige & Andrea Bocelli,19/2/2010,
Who I Am,Nick Jonas & The Administration,19/2/2010,
Glitter In The Air,P!nk,19/2/2010,
Major Tom,Shiny Toy Guns,19/2/2010,
Fearless,Taylor Swift,19/2/2010,
We Are The World 25: For Haiti,Artists For Haiti,26/2/2010,
Pants On The Ground,General Larry Platt,26/2/2010,
Solo,Iyaz,26/2/2010,
Didn't You Know How Much I Loved You,Kellie Pickler,26/2/2010,
"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana,26/2/2010,
Everything To Me,Monica,26/2/2010,
Unstoppable,Rascal Flatts,26/2/2010,
Rude Boy,Rihanna,26/2/2010,
O Let's Do It,Waka Flocka Flame,26/2/2010,
Follow Me Down                ,3OH!3 Featuring Neon Hitch,5/3/2010,
Hero,Christopher Wilde,5/3/2010,
StarStruck,Christopher Wilde,5/3/2010,
Something About The Sunshine  ,Christopher Wilde & Anna Margaret,5/3/2010,
All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",5/3/2010,
Young Forever,Jay-Z + Mr. Hudson,5/3/2010,
Hallelujah (Vancouver Winter 2010 Version),k.d. lang,5/3/2010,
Up Out My Face,Mariah Carey Featuring Nicki Minaj,5/3/2010,
There Goes My Baby,Usher,5/3/2010,
Gimmie That Girl,Joe Nichols,12/3/2010,
Backwoods,Justin Moore,12/3/2010,
Let It Be,Kris Allen,12/3/2010,
My Chick Bad,Ludacris Featuring Nicki Minaj,12/3/2010,
One Day,Matisyahu,12/3/2010,
Break Your Heart,Taio Cruz Featuring Ludacris,12/3/2010,
Neighbors Know My Name,Trey Songz,12/3/2010,
"Women Lie, Men Lie",Yo Gotti Featuring Lil Wayne,12/3/2010,
Alice,Avril Lavigne,19/3/2010,
The Man I Want To Be,Chris Young,19/3/2010,
My Best Days Are Ahead Of Me,Danny Gokey,19/3/2010,
Hell On The Heart,Eric Church,19/3/2010,
Cryin' Like A Bitch!,Godsmack,19/3/2010,
Ridin' Solo,Jason Derulo,19/3/2010,
Never Let You Go,Justin Bieber,19/3/2010,
Ain't Back Yet,Kenny Chesney,19/3/2010,
Bulletproof,La Roux,19/3/2010,
Keep On Lovin' You,Steel Magnolia,19/3/2010,
Feel It,Three 6 Mafia Vs. Tiesto With Sean Kingston & Flo Rida,19/3/2010,
Lil Freak,Usher Featuring Nicki Minaj,19/3/2010,
Over,Drake,26/3/2010,
Ooh Baby,Mario,26/3/2010,
Driving Me Crazy,Sam Adams,26/3/2010,
Make A Wave,Disney's Friends For Change,2/4/2010,
I Gotta Get To You,George Strait,2/4/2010,
U Smile,Justin Bieber,2/4/2010,
Fistful Of Tears,Maxwell,2/4/2010,
I'm Awesome,Spose,2/4/2010,
I'm Back,T.I.,2/4/2010,
Love King,The-Dream,2/4/2010,
More,Usher,2/4/2010,
4 My Town (Play Ball),Birdman Featuring Drake & Lil Wayne,9/4/2010,
I Never Told You,Colbie Caillat,9/4/2010,
Pray For You,Jaron And The Long Road To Love,9/4/2010,
That Should Be Me,Justin Bieber,9/4/2010,
Rain Is A Good Thing,Luke Bryan,9/4/2010,
Wrong Baby Wrong,Martina McBride,9/4/2010,
The House That Built Me,Miranda Lambert,9/4/2010,
Eenie Meenie,Sean Kingston & Justin Bieber,9/4/2010,1
If We Ever Meet Again,Timbaland Featuring Katy Perry,9/4/2010,
Reverse Cowgirl,T-Pain,9/4/2010,
Roger That,Young Money,9/4/2010,
She Won't Be Lonely Long,Clay Walker,16/4/2010,
Hello Good Morning,Diddy - Dirty Money Featuring T.I.,16/4/2010,
Window Seat,Erykah Badu,16/4/2010,
Alejandro,Lady Gaga,16/4/2010,1
Billionaire,Travie McCoy Featuring Bruno Mars,16/4/2010,0
OMG,Usher Featuring will.i.am,16/4/2010,
Un-Thinkable (I'm Ready),Alicia Keys,23/4/2010,
Don't Let Me Fall,B.o.B,23/4/2010,
Give Me A Sign (Forever And Ever),Breaking Benjamin,23/4/2010,
You And Your Heart,Jack Johnson,23/4/2010,
Winner,Jamie Foxx Featuring Justin Timberlake & T .I.,23/4/2010,
All I Ever Wanted,Kelly Clarkson,23/4/2010,
Kissin U,Miranda Cosgrove,23/4/2010,
This Afternoon,Nickelback,23/4/2010,
Airplanes,B.o.B Featuring Hayley Williams,30/4/2010,0
Water,Brad Paisley,30/4/2010,
Not Myself Tonight,Christina Aguilera,30/4/2010,
Crazy Town,Jason Aldean,30/4/2010,
Bet I,B.o.B Featuring T.I. & Playboy Tre,7/5/2010,
Ride,Ciara Featuring Ludacris,7/5/2010,
I Keep On Loving You,Reba,7/5/2010,
Impossible,Shontelle,7/5/2010,
Still,Tim McGraw,7/5/2010,
New Morning,Alpha Rev,14/5/2010,
Magic,B.o.B Featuring Rivers Cuomo,14/5/2010,
Halfway There,Big Time Rush,14/5/2010,
Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO,14/5/2010,
"Lover, Lover",Jerrod Niemann,14/5/2010,
Cooler Than Me,Mike Posner,14/5/2010,0
Gypsy,Shakira,14/5/2010,
Rock That Body,The Black Eyed Peas,14/5/2010,
My First Kiss,3OH!3 Featuring Ke$ha,21/5/2010,
Undo It,Carrie Underwood,21/5/2010,
Find Your Love,Drake,21/5/2010,
Not Afraid,Eminem,21/5/2010,
Love Like Crazy,Lee Brice,21/5/2010,
All Or Nothing,Theory Of A Deadman,21/5/2010,
Lose My Mind,Young Jeezy Featuring Plies,21/5/2010,
Pyramid,Charice Featuring Iyaz,28/5/2010,
I Like It,Enrique Iglesias Featuring Pitbull,28/5/2010,
Somebody To Love,Justin Bieber Featuring Usher,28/5/2010,1
California Gurls,Katy Perry Featuring Snoop Dogg,28/5/2010,0
I'm Single,Lil Wayne,28/5/2010,
Touchin On My,3OH!3,4/6/2010,
Nightmare,Avenged Sevenfold,4/6/2010,
Woohoo,Christina Aguilera Featuring Nicki Minaj,4/6/2010,
Hold You (Hold Yuh),Gyptian,4/6/2010,
Can't Be Tamed,Miley Cyrus,4/6/2010,
Neutron Star Collision (Love Is Forever),Muse,4/6/2010,
Free,Zac Brown Band,4/6/2010,
Teach Me How To Dougie,Cali Swag District,11/6/2010,
Up To The Mountain,Crystal Bowersox,11/6/2010,
Who Dat,J. Cole,11/6/2010,
Beautiful Day,Lee DeWyze,11/6/2010,
Hallelujah,Lee DeWyze,11/6/2010,
The Boxer,Lee DeWyze,11/6/2010,
Falling Slowly,Lee DeWyze & Crystal Bowersox,11/6/2010,
Sex Room,Ludacris Featuring Trey Songz,11/6/2010,
The Only Exception,Paramore,11/6/2010,1
Super High,Rick Ross Featuring Ne-Yo,11/6/2010,
Leave Right Now,Will Young,11/6/2010,
Deja Vu,3OH!3,18/6/2010,
Pretty Good At Drinkin' Beer,Billy Currington,18/6/2010,
Miss Me,Drake Featuring Lil Wayne,18/6/2010,
I'm In,Keith Urban,18/6/2010,
Little White Church,Little Big Town,18/6/2010,
Animal,Neon Trees,18/6/2010,1
Your Love,Nicki Minaj,18/6/2010,
Yeah Ya Know (Takers),T.I.,18/6/2010,
Got Your Back,T.I. Featuring Keri Hilson,18/6/2010,
Dynamite,Taio Cruz,18/6/2010,0
Dirty Picture,Taio Cruz Featuring Ke$ha,18/6/2010,
Shark In The Water,V V Brown,18/6/2010,
Bionic,Christina Aguilera,25/6/2010,
Half Of My Heart,John Mayer,25/6/2010,1
Never Say Never,Justin Bieber Featuring Jaden Smith,25/6/2010,
Wavin' Flag,K'Naan,25/6/2010,
Hey,Lil Jon Featuring 3OH!3,25/6/2010,
Beautiful Monster,Ne-Yo,25/6/2010,
Secrets,OneRepublic,25/6/2010,0
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,25/6/2010,0
If It's Love,Train,25/6/2010,
Double Vision,3OH!3,2/7/2010,
All About Tonight,Blake Shelton,2/7/2010,
143,Bobby Brackins Featuring Ray J,2/7/2010,
This Ain't Nothin',Craig Morgan,2/7/2010,
Another Way To Die,Disturbed,2/7/2010,
9 AM In Dallas,Drake,2/7/2010,
Fireworks,Drake Featuring Alicia Keys,2/7/2010,
Up All Night,Drake Featuring Nicki Minaj,2/7/2010,
Fancy,Drake Featuring T.I. & Swizz Beatz,2/7/2010,
Finding My Way Back,Jaheim,2/7/2010,
Farmer's Daughter,Rodney Atkins,2/7/2010,
Pretty Boy Swag,Soulja Boy Tell'em,2/7/2010,
Lay Me Down,The Dirty Heads Featuring Rome,2/7/2010,
If I Had You,Adam Lambert,9/7/2010,
Cold Wind Blows,Eminem,9/7/2010,
25 To Life,Eminem,9/7/2010,
Talkin' 2 Myself,Eminem Featuring Kobe,9/7/2010,
No Love,Eminem Featuring Lil Wayne,9/7/2010,
Won't Back Down,Eminem Featuring P!nk,9/7/2010,
Love The Way You Lie,Eminem Featuring Rihanna,9/7/2010,
Misery,Maroon 5,9/7/2010,1
Stay,Miley Cyrus,9/7/2010,
King Of Anything,Sara Bareilles,9/7/2010,
Round & Round,Selena Gomez & The Scene,9/7/2010,
I Can Do Anything,3OH!3,16/7/2010,
Deuces,Chris Brown Featuring Tyga & Kevin McCall,16/7/2010,
Jar Of Hearts,Christina Perri,16/7/2010,
Cuando Me Enamoro,Enrique Iglesias Featuring Juan Luis Guerra,16/7/2010,
Club Can't Handle Me,Flo Rida Featuring David Guetta,16/7/2010,0
All Over Me,Josh Turner,16/7/2010,
POWER,Kanye West,16/7/2010,0
Outta Your Mind,Lil Jon Featuring LMFAO,16/7/2010,
We'll Be A Dream,WE the Kings Featuring Demi Lovato,16/7/2010,
Up On The Ridge,Dierks Bentley,23/7/2010,
Bittersweet,Fantasia,23/7/2010,
B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P,23/7/2010,
If I Die Young,The Band Perry,23/7/2010,
La La La,Auburn Featuring Iyaz,30/7/2010,
Opposite Of Adults,Chiddy Bang,30/7/2010,
Come Back Song,Darius Rucker,30/7/2010,
Roll With It,Easton Corbin,30/7/2010,
Ordinary Girl,Hannah Montana,30/7/2010,
Love All Over Me,Monica,30/7/2010,
Break My Bank,New Boyz Featuring Iyaz,30/7/2010,
Mockingbird,Rob Thomas,30/7/2010,
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,30/7/2010,1
Just The Way You Are,Bruno Mars,6/8/2010,1
Teenage Dream,Katy Perry,6/8/2010,1
Champagne Life,Ne-Yo,6/8/2010,
Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,6/8/2010,
G.R.I.N.D. (Get Ready It's A New Day),Asher Roth,13/8/2010,
The Boys of Fall,Kenny Chesney,13/8/2010,
Rockstar 101,Rihanna Featuring Slash,13/8/2010,
The Crow & The Butterfly,Shinedown,13/8/2010,
Stuck Like Glue,Sugarland,13/8/2010,
September,Daughtry,20/8/2010,
2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,20/8/2010,
Not Like The Movies,Katy Perry,20/8/2010,
The Catalyst,Linkin Park,20/8/2010,
Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,20/8/2010,
Mine,Taylor Swift,20/8/2010,1
The Man Who Can't Be Moved,The Script,20/8/2010,1
Bed Intruder Song,Antoine Dodson & The Gregory Brothers Featuring Kelly Dodson,27/8/2010,
Like A G6,Far*East Movement Featuring Cataracs & Dev,27/8/2010,
Circle The Drain,Katy Perry,27/8/2010,
Little Lion Man,Mumford & Sons,27/8/2010,
Rhythm of Love,Plain White T's,27/8/2010,1
Love Like Woe,The Ready Set,27/8/2010,
Bottoms Up,Trey Songz Featuring Nicki Minaj,27/8/2010,
Hot Tottie,Usher Featuring Jay-Z,27/8/2010,
As She's Walking Away,Zac Brown Band Featuring Alan Jackson,27/8/2010,
E.T.,Katy Perry Featuring Kanye West,3/9/2010,1
Right Above It,Lil Wayne Featuring Drake,3/9/2010,
Give A Little More,Maroon 5,3/9/2010,1
Just A Dream,Nelly,3/9/2010,
Why Wait,Rascal Flatts,3/9/2010,
Black Rain,Soundgarden,3/9/2010,
F**k You! (Forget You),CeeLo Green,10/9/2010,1
My Kinda Party,Jason Aldean,10/9/2010,
Holding You Down (Goin In Circles),Jazmine Sullivan,10/9/2010,
Way Out Here,Josh Thompson,10/9/2010,
Last Friday Night (T.G.I.F.),Katy Perry,10/9/2010,0
Erase Me,Kid Cudi Featuring Kanye West,10/9/2010,
Trailerhood,Toby Keith,10/9/2010,
Toot It And Boot It,YG,10/9/2010,
Anything Like Me,Brad Paisley,17/9/2010,
The Breath You Take,George Strait,17/9/2010,
Only Prettier,Miranda Lambert,17/9/2010,
Dog Days Are Over,Florence + The Machine,24/9/2010,0
Hollywood,Michael Buble,24/9/2010,
Introducing Me,Nick Jonas,24/9/2010,
Only Girl (In The World),Rihanna,24/9/2010,1
Dumb Love,Sean Kingston,24/9/2010,
A Year Without Rain,Selena Gomez & The Scene,24/9/2010,
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,24/9/2010,
Check It Out,will.i.am & Nicki Minaj,24/9/2010,
Smoke A Little Smoke,Eric Church,1/10/2010,
Put You In A Song,Keith Urban,1/10/2010,
Radioactive,Kings Of Leon,1/10/2010,0
Waiting For The End,Linkin Park,1/10/2010,
All I Want Is You,Miguel Featuring J. Cole,1/10/2010,
Turn On The Radio,Reba,1/10/2010,
Can't Be Friends,Trey Songz,1/10/2010,
Black And Yellow,Wiz Khalifa,1/10/2010,
We No Speak Americano,Yolanda Be Cool & Dcup,1/10/2010,
Angel,Akon,8/10/2010,
Loving You No More,Diddy - Dirty Money Featuring Drake,8/10/2010,
Shake,Jesse McCartney,8/10/2010,
Stutter,Maroon 5,8/10/2010,
Please Don't Go,Mike Posner,8/10/2010,
Grenade,Bruno Mars,15/10/2010,1
Mama's Song,Carrie Underwood,15/10/2010,
I Am Not A Human Being,Lil Wayne,15/10/2010,
Bill Gates,Lil Wayne,15/10/2010,
Gonorrhea,Lil Wayne Featuring Drake,15/10/2010,
What's Wrong With Them,Lil Wayne Featuring Nicki Minaj,15/10/2010,
Hope She Cheats On You (With A Basketball Player),Marsha Ambrosius,15/10/2010,
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,15/10/2010,
Right Thru Me,Nicki Minaj,15/10/2010,
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,15/10/2010,
Like We Used To,A Rocket To The Moon,22/10/2010,
The Lazy Song,Bruno Mars,22/10/2010,
Memories,David Guetta Featuring Kid Cudi,22/10/2010,
Stereo Love,Edward Maya & Vika Jigulina,22/10/2010,
Runaway,Kanye West Featuring Pusha T,22/10/2010,
Raise Your Glass,P!nk,22/10/2010,
Loca,Shakira Featuring El Cata or Dizzee Rascal,22/10/2010,
Speak Now,Taylor Swift,22/10/2010,1
This,Darius Rucker,29/10/2010,
Move That Body,Nelly Featuring T-Pain & Akon,29/10/2010,
Little Miss,Sugarland,29/10/2010,
Back To December,Taylor Swift,29/10/2010,1
This Ain't No Love Song,Trace Adkins,29/10/2010,
Gonna Get This,Hannah Montana Featuring Iyaz,5/11/2010,
Monster,"Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",5/11/2010,
Firework,Katy Perry,5/11/2010,0
The End,Kings Of Leon,5/11/2010,
Lay It Down,Lloyd,5/11/2010,
Porn Star Dancing,My Darkest Days Featuring Zakk Wylde,5/11/2010,
Strip Me,Natasha Bedingfield,5/11/2010,
What's My Name?,Rihanna Featuring Drake,5/11/2010,
Mean,Taylor Swift,5/11/2010,0
Tighten Up,The Black Keys,5/11/2010,
Rap Song,T-Pain Featuring Rick Ross,5/11/2010,
Whip My Hair,WILLOW,5/11/2010,
Yeah 3X,Chris Brown,12/11/2010,
We R Who We R,Ke$ha,12/11/2010,
Mr. Rager,Kid Cudi,12/11/2010,
Someone Else Calling You Baby,Luke Bryan,12/11/2010,
One In A Million,Ne-Yo,12/11/2010,
I Won't Let Go,Rascal Flatts,12/11/2010,
Sparks Fly,Taylor Swift,12/11/2010,1
Innocent,Taylor Swift,12/11/2010,
The Story Of Us,Taylor Swift,12/11/2010,1
Dear John,Taylor Swift,12/11/2010,1
Better Than Revenge,Taylor Swift,12/11/2010,1
Haunted,Taylor Swift,12/11/2010,
Last Kiss,Taylor Swift,12/11/2010,
Enchanted,Taylor Swift,12/11/2010,1
Never Grow Up,Taylor Swift,12/11/2010,
Long Live,Taylor Swift,12/11/2010,1
Who Are You When I'm Not Looking,Blake Shelton,19/11/2010,
Voices,Chris Young,19/11/2010,
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,19/11/2010,
Sleazy Remix 2.0 Get Sleazier,"Ke$ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000",19/11/2010,
Somewhere With You,Kenny Chesney,19/11/2010,
Sick,New Hollow,19/11/2010,
Roman's Revenge,Nicki Minaj Featuring Eminem,19/11/2010,
"Bon, Bon",Pitbull,19/11/2010,
Lo Mejor De Mi Vida Eres Tu,Ricky Martin Featuring Natalia Jimenez,19/11/2010,
The Big Bang,ROCKMAFIA,19/11/2010,
Get Back Up,T.I. Featuring Chris Brown,19/11/2010,
Felt Good On My Lips,Tim McGraw,19/11/2010,
Bullets In The Gun,Toby Keith,19/11/2010,
What If,Jason Derulo,26/11/2010,
Down On Me,Jeremih Featuring 50 Cent,26/11/2010,
Cannibal,Ke$ha,26/11/2010,
Marijuana,Kid Cudi,26/11/2010,
Scott Mescudi Vs. The World,Kid Cudi Featuring Cee-Lo,26/11/2010,
Hello World,Lady Antebellum,26/11/2010,
The Show Goes On,Lupe Fiasco,26/11/2010,
The Time (Dirty Bit),The Black Eyed Peas,26/11/2010,
Make A Movie,Twista Featuring Chris Brown,26/11/2010,
Kush,Dr. Dre Featuring Snoop Dogg & Akon,3/12/2010,
Turn Around (5 4 3 2 1),Flo Rida,3/12/2010,
Blow,Ke$ha,3/12/2010,
Hold My Hand,Michael Jackson Duet With Akon,3/12/2010,
Liv Tonight,Nelly Featuring Keri Hilson,3/12/2010,
S&M,Rihanna Featuring Britney Spears,3/12/2010,
Marry Me,Train,3/12/2010,1
Let Me Down Easy,Billy Currington,10/12/2010,
Marry You,Bruno Mars,10/12/2010,1
Show Me How You Burlesque,Christina Aguilera,10/12/2010,
Who's That Chick?,David Guetta Featuring Rihanna,10/12/2010,
Coming Home,Diddy - Dirty Money Featuring Skylar Grey,10/12/2010,
Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,10/12/2010,
All Of The Lights,Kanye West,10/12/2010,
Dark Fantasy,"Kanye West Featuring Teyana Taylor, Nicki Minaj & Bon Iver",10/12/2010,
Crazy Beautiful Life,Ke$ha,10/12/2010,
Pretty Girl Rock,Keri Hilson,10/12/2010,
Fly,Nicki Minaj Featuring Rihanna,10/12/2010,
Maybe,Sick Puppies,10/12/2010,
Fire Flame,Birdman Featuring Lil Wayne,17/12/2010,
Christmas Lights,Coldplay,17/12/2010,
Rocketeer,Far*East Movement Featuring Ryan Tedder,17/12/2010,
Who Dat Girl,Flo Rida Featuring Akon,17/12/2010,
Boots,The Killers,17/12/2010,
Freak The Freak Out,Victorious Cast Featuring Victoria Justice,17/12/2010,
Rolling In The Deep,Adele,24/12/2010,1
No BS,Chris Brown,24/12/2010,
Bass Down Low,Dev Featuring The Cataracs,24/12/2010,
Fall For Your Type,Jamie Foxx Featuring Drake,24/12/2010,
That's All She Wrote,T.I. Featuring Eminem,24/12/2010,
You Be Killin Em,Fabolous,31/12/2010,
What Do You Want,Jerrod Niemann,31/12/2010,
6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,31/12/2010,
Oh Santa!,Mariah Carey,31/12/2010,
Moment 4 Life,Nicki Minaj Featuring Drake,31/12/2010,
