song,artist,date
Empire State Of Mind (Part II) Broken Down,Alicia Keys,2010-01-01
Uprising,Muse,2010-01-01
I Wanna Make You Close Your Eyes,Dierks Bentley,2010-01-01
Life After You,Daughtry,2010-01-01
Carry Out,Timbaland Featuring Justin Timberlake,2010-01-01
One Less Lonely Girl,Justin Bieber,2010-01-01
Papers,Usher,2010-01-01
Never Gonna Be Alone,Nickelback,2010-01-01
Red Light,David Nail,2010-01-01
Why Don't We Just Dance,Josh Turner,2010-01-01
I Am,Mary J. Blige,2010-01-01
History In The Making,Darius Rucker,2010-01-01
Elevator,Eminem,2010-01-01
Crawl,Chris Brown,2010-01-01
Shut It Down,Pitbull Featuring Akon,2010-01-01
In My Head,Jason Derulo,2010-01-01
Haven't Met You Yet,Michael Buble,2010-01-01
Whataya Want From Me,Adam Lambert,2010-01-01
Eight Second Ride,Jake Owen,2010-01-01
Someday,Rob Thomas,2010-01-01
I Wanna Rock,Snoop Dogg,2010-01-01
Bonfire,Craig Morgan,2010-01-01
Wasted,Gucci Mane Featuring Plies Or OJ Da Juiceman,2010-01-01
All The Right Moves,OneRepublic,2010-01-01
Sex Therapy,Robin Thicke,2010-01-01
Body Language,Jesse McCartney Featuring T-Pain,2010-01-01
I Will Not Bow,Breaking Benjamin,2010-01-01
Break,Three Days Grace,2010-01-01
Bad Habits,Maxwell,2010-01-01
On Fire,Lil Wayne,2010-01-01
Heartbreak Warfare,John Mayer,2010-01-01
American Saturday Night,Brad Paisley,2010-01-01
That's How Country Boys Roll,Billy Currington,2010-01-01
Cryin' For Me (Wayman's Song),Toby Keith,2010-01-01
Breakeven,The Script,2010-01-01
1901,Phoenix,2010-01-01
Halfway Gone,Lifehouse,2010-01-01
Gettin' You Home,Chris Young,2010-01-01
Imma Be,The Black Eyed Peas,2010-01-01
Hey Daddy (Daddy's Home),Usher Featuring Plies,2010-01-01
(If You're Wondering If I Want You To) I Want You To,Weezer,2010-01-01
Kings And Queens,Thirty Seconds To Mars,2010-01-01
I'm Going In,Drake Featuring Lil Wayne & Young Jeezy,2010-01-01
I Get It In,Omarion Featuring Gucci Mane,2010-01-01
Drop It Low,Ester Dean Featuring Chris Brown,2010-01-01
Video Phone,Beyonce Featuring Lady Gaga,2010-01-01
Naturally,Selena Gomez & The Scene,2010-01-08
Steady Mobbin',Young Money Featuring Gucci Mane,2010-01-08
Hillbilly Bone,Blake Shelton Featuring Trace Adkins,2010-01-08
Vanilla Twilight,Owl City,2010-01-08
Funhouse,P!nk,2010-01-08
Music Box,Eminem,2010-01-08
Love Me,Justin Bieber,2010-01-08
Hot Mess,Cobra Starship,2010-01-08
Rain,Creed,2010-01-08
Falling Down,Selena Gomez & The Scene,2010-01-08
Shots,LMFAO Featuring Lil Jon,2010-01-08
American Honey,Lady Antebellum,2010-01-08
Drop The World,Lil Wayne Featuring Eminem,2010-01-15
Temporary Home,Carrie Underwood,2010-01-15
Blah Blah Blah,Ke$ha Featuring 3OH!3,2010-01-22
Your Love Is My Drug,Ke$ha,2010-01-22
Take It Off,Ke$ha,2010-01-22
Love This Pain,Lady Antebellum,2010-01-22
Say Something,Timbaland Featuring Drake,2010-01-22
A Little More Country Than That,Easton Corbin,2010-01-22
Soldier Of Love,Sade,2010-01-29
Ready To Love Again,Lady Antebellum,2010-01-29
On To The Next One,Jay-Z + Swizz Beatz,2010-01-29
Set The Fire To The Third Bar,Snow Patrol Featuring Martha Wainwright,2010-01-29
When I Look At You,Miley Cyrus,2010-01-29
'Til Summer Comes Around,Keith Urban,2010-01-29
Highway 20 Ride,Zac Brown Band,2010-01-29
Just Breathe,Pearl Jam,2010-01-29
Today Was A Fairytale,Taylor Swift,2010-02-05
Baby,Justin Bieber Featuring Ludacris,2010-02-05
Stranded (Haiti Mon Amour),"Jay-Z, Bono, The Edge & Rihanna",2010-02-05
Hallelujah,Justin Timberlake & Matt Morris Featuring Charlie Sexton,2010-02-05
Our Kind Of Love,Lady Antebellum,2010-02-05
Redemption Song,Rihanna,2010-02-05
Lean On Me,"Sheryl Crow, Kid Rock & Keith Urban",2010-02-12
Breathless,Taylor Swift,2010-02-12
Nothin' On You,B.o.B Featuring Bruno Mars,2010-02-12
My City Of Ruins (Live From The Kennedy Center Honors),Eddie Vedder,2010-02-12
Ain't Leavin Without You,Jaheim,2010-02-12
Let It Be,Jennifer Hudson Featuring The Roots,2010-02-12
Hurry Home,Jason Michael Carroll,2010-02-12
All The Way Turnt Up,Roscoe Dash Featuring Soulja Boy Tell'em,2010-02-12
Glitter In The Air,P!nk,2010-02-19
Knockout,Lil Wayne Featuring Nicki Minaj,2010-02-19
You And Me,Dave Matthews Band,2010-02-19
I Made It (Cash Money Heroes),"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",2010-02-19
Bridge Over Troubled Water    ,Mary J. Blige & Andrea Bocelli,2010-02-19
F**k Today,Lil Wayne Featuring Gudda,2010-02-19
Who I Am,Nick Jonas & The Administration,2010-02-19
American Star,Lil Wayne Featuring Shanell AKA SNL,2010-02-19
Lemonade,Gucci Mane,2010-02-19
Major Tom,Shiny Toy Guns,2010-02-19
Fearless,Taylor Swift,2010-02-19
We Are The World 25: For Haiti,Artists For Haiti,2010-02-26
Solo,Iyaz,2010-02-26
Pants On The Ground,General Larry Platt,2010-02-26
Rude Boy,Rihanna,2010-02-26
"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana,2010-02-26
Everything To Me,Monica,2010-02-26
Unstoppable,Rascal Flatts,2010-02-26
O Let's Do It,Waka Flocka Flame,2010-02-26
Didn't You Know How Much I Loved You,Kellie Pickler,2010-02-26
Hero,Christopher Wilde,2010-03-05
Hallelujah (Vancouver Winter 2010 Version),k.d. lang,2010-03-05
All I Do Is Win,"DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",2010-03-05
There Goes My Baby,Usher,2010-03-05
StarStruck,Christopher Wilde,2010-03-05
Something About The Sunshine  ,Christopher Wilde & Anna Margaret,2010-03-05
Follow Me Down                ,3OH!3 Featuring Neon Hitch,2010-03-05
Young Forever,Jay-Z + Mr. Hudson,2010-03-05
Up Out My Face,Mariah Carey Featuring Nicki Minaj,2010-03-05
My Chick Bad,Ludacris Featuring Nicki Minaj,2010-03-12
Break Your Heart,Taio Cruz Featuring Ludacris,2010-03-12
Let It Be,Kris Allen,2010-03-12
Neighbors Know My Name,Trey Songz,2010-03-12
One Day,Matisyahu,2010-03-12
"Women Lie, Men Lie",Yo Gotti Featuring Lil Wayne,2010-03-12
Gimmie That Girl,Joe Nichols,2010-03-12
Backwoods,Justin Moore,2010-03-12
Never Let You Go,Justin Bieber,2010-03-19
Ridin' Solo,Jason Derulo,2010-03-19
Lil Freak,Usher Featuring Nicki Minaj,2010-03-19
Alice,Avril Lavigne,2010-03-19
Ain't Back Yet,Kenny Chesney,2010-03-19
Cryin' Like A Bitch!,Godsmack,2010-03-19
Feel It,Three 6 Mafia Vs. Tiesto With Sean Kingston & Flo Rida,2010-03-19
My Best Days Are Ahead Of Me,Danny Gokey,2010-03-19
Bulletproof,La Roux,2010-03-19
The Man I Want To Be,Chris Young,2010-03-19
Keep On Lovin' You,Steel Magnolia,2010-03-19
Hell On The Heart,Eric Church,2010-03-19
Over,Drake,2010-03-26
Driving Me Crazy,Sam Adams,2010-03-26
Ooh Baby,Mario,2010-03-26
U Smile,Justin Bieber,2010-04-02
I'm Back,T.I.,2010-04-02
I'm Awesome,Spose,2010-04-02
More,Usher,2010-04-02
Make A Wave,Disney's Friends For Change,2010-04-02
Love King,The-Dream,2010-04-02
Fistful Of Tears,Maxwell,2010-04-02
I Gotta Get To You,George Strait,2010-04-02
Eenie Meenie,Sean Kingston & Justin Bieber,2010-04-09
Reverse Cowgirl,T-Pain,2010-04-09
Roger That,Young Money,2010-04-09
Pray For You,Jaron And The Long Road To Love,2010-04-09
Rain Is A Good Thing,Luke Bryan,2010-04-09
That Should Be Me,Justin Bieber,2010-04-09
Wrong Baby Wrong,Martina McBride,2010-04-09
If We Ever Meet Again,Timbaland Featuring Katy Perry,2010-04-09
4 My Town (Play Ball),Birdman Featuring Drake & Lil Wayne,2010-04-09
The House That Built Me,Miranda Lambert,2010-04-09
I Never Told You,Colbie Caillat,2010-04-09
OMG,Usher Featuring will.i.am,2010-04-16
Hello Good Morning,Diddy - Dirty Money Featuring T.I.,2010-04-16
Alejandro,Lady Gaga,2010-04-16
Billionaire,Travie McCoy Featuring Bruno Mars,2010-04-16
Window Seat,Erykah Badu,2010-04-16
She Won't Be Lonely Long,Clay Walker,2010-04-16
You And Your Heart,Jack Johnson,2010-04-23
Winner,Jamie Foxx Featuring Justin Timberlake & T .I.,2010-04-23
Don't Let Me Fall,B.o.B,2010-04-23
This Afternoon,Nickelback,2010-04-23
Kissin U,Miranda Cosgrove,2010-04-23
Un-Thinkable (I'm Ready),Alicia Keys,2010-04-23
Give Me A Sign (Forever And Ever),Breaking Benjamin,2010-04-23
All I Ever Wanted,Kelly Clarkson,2010-04-23
Airplanes,B.o.B Featuring Hayley Williams,2010-04-30
Not Myself Tonight,Christina Aguilera,2010-04-30
Gives You Hell,Glee Cast,2010-04-30
Hello,Glee Cast Featuring Jonathan Groff,2010-04-30
Hello Goodbye,Glee Cast,2010-04-30
"Hello, I Love You",Glee Cast,2010-04-30
Crazy Town,Jason Aldean,2010-04-30
Water,Brad Paisley,2010-04-30
Like A Prayer,Glee Cast Featuring Jonathan Groff,2010-05-07
Bet I,B.o.B Featuring T.I. & Playboy Tre,2010-05-07
Borderline / Open Your Heart,Glee Cast,2010-05-07
Like A Virgin,Glee Cast,2010-05-07
Impossible,Shontelle,2010-05-07
4 Minutes,Glee Cast,2010-05-07
I Keep On Loving You,Reba,2010-05-07
Still,Tim McGraw,2010-05-07
Ride,Ciara Featuring Ludacris,2010-05-07
One Less Bell To Answer / A House Is Not A Home,Glee Cast Featuring Kristin Chenoweth,2010-05-14
Beautiful,Glee Cast,2010-05-14
Rock That Body,The Black Eyed Peas,2010-05-14
Fire,Glee Cast Featuring Kristin Chenoweth,2010-05-14
Gypsy,Shakira,2010-05-14
A House Is Not A Home,Glee Cast,2010-05-14
Magic,B.o.B Featuring Rivers Cuomo,2010-05-14
Cooler Than Me,Mike Posner,2010-05-14
"Lover, Lover",Jerrod Niemann,2010-05-14
Home,Glee Cast Featuring Kristin Chenoweth,2010-05-14
Halfway There,Big Time Rush,2010-05-14
Gettin' Over You,David Guetta & Chris Willis Featuring Fergie & LMFAO,2010-05-14
New Morning,Alpha Rev,2010-05-14
Not Afraid,Eminem,2010-05-21
My First Kiss,3OH!3 Featuring Ke$ha,2010-05-21
Total Eclipse Of The Heart,Glee Cast Featuring Jonathan Groff,2010-05-21
Find Your Love,Drake,2010-05-21
Lose My Mind,Young Jeezy Featuring Plies,2010-05-21
Run Joey Run,Glee Cast Featuring Jonathan Groff,2010-05-21
Ice Ice Baby,Glee Cast,2010-05-21
Physical,Glee Cast Featuring Olivia Newton-John,2010-05-21
U Can't Touch This,Glee Cast,2010-05-21
Undo It,Carrie Underwood,2010-05-21
Love Like Crazy,Lee Brice,2010-05-21
All Or Nothing,Theory Of A Deadman,2010-05-21
California Gurls,Katy Perry Featuring Snoop Dogg,2010-05-28
Jessie's Girl,Glee Cast,2010-05-28
Pyramid,Charice Featuring Iyaz,2010-05-28
One,Glee Cast,2010-05-28
The Boy Is Mine,Glee Cast,2010-05-28
Lady Is A Tramp,Glee Cast,2010-05-28
I'm Single,Lil Wayne,2010-05-28
I Like It,Enrique Iglesias Featuring Pitbull,2010-05-28
Rose's Turn,Glee Cast,2010-05-28
Somebody To Love,Justin Bieber Featuring Usher,2010-05-28
Can't Be Tamed,Miley Cyrus,2010-06-04
Dream On,Glee Cast Featuring Neil Patrick Harris,2010-06-04
I Dreamed A Dream,Glee Cast Featuring Idina Menzel,2010-06-04
Touchin On My,3OH!3,2010-06-04
Nightmare,Avenged Sevenfold,2010-06-04
Neutron Star Collision (Love Is Forever),Muse,2010-06-04
Woohoo,Christina Aguilera Featuring Nicki Minaj,2010-06-04
Safety Dance,Glee Cast,2010-06-04
Bad Romance,Glee Cast,2010-06-04
Free,Zac Brown Band,2010-06-04
Hold You (Hold Yuh),Gyptian,2010-06-04
Poker Face,Glee Cast,2010-06-04
Beautiful Day,Lee DeWyze,2010-06-11
Hallelujah,Lee DeWyze,2010-06-11
Up To The Mountain,Crystal Bowersox,2010-06-11
Falling Slowly,Lee DeWyze & Crystal Bowersox,2010-06-11
Beth,Glee Cast,2010-06-11
Leave Right Now,Will Young,2010-06-11
The Boxer,Lee DeWyze,2010-06-11
The Only Exception,Paramore,2010-06-11
Teach Me How To Dougie,Cali Swag District,2010-06-11
Who Dat,J. Cole,2010-06-11
Sex Room,Ludacris Featuring Trey Songz,2010-06-11
Super High,Rick Ross Featuring Ne-Yo,2010-06-11
Miss Me,Drake Featuring Lil Wayne,2010-06-18
Dynamite,Taio Cruz,2010-06-18
Got Your Back,T.I. Featuring Keri Hilson,2010-06-18
Yeah Ya Know (Takers),T.I.,2010-06-18
Your Love,Nicki Minaj,2010-06-18
Good Vibrations,Glee Cast,2010-06-18
Deja Vu,3OH!3,2010-06-18
Another One Bites The Dust,Glee Cast,2010-06-18
Pretty Good At Drinkin' Beer,Billy Currington,2010-06-18
Tell Me Something Good,Glee Cast,2010-06-18
I'm In,Keith Urban,2010-06-18
Loser,Glee Cast,2010-06-18
Little White Church,Little Big Town,2010-06-18
"It's A Man's, Man's Man's World",Glee Cast,2010-06-18
Dirty Picture,Taio Cruz Featuring Ke$ha,2010-06-18
Shark In The Water,V V Brown,2010-06-18
Animal,Neon Trees,2010-06-18
Never Say Never,Justin Bieber Featuring Jaden Smith,2010-06-25
Faithfully,Glee Cast,2010-06-25
Waka Waka (This Time For Africa),Shakira Featuring Freshlyground,2010-06-25
Over The Rainbow,Glee Cast,2010-06-25
Any Way You Want It/Lovin' Touchin' Squeezin',Glee Cast,2010-06-25
Don't Stop Believin',Glee Cast,2010-06-25
Bionic,Christina Aguilera,2010-06-25
Beautiful Monster,Ne-Yo,2010-06-25
Hey,Lil Jon Featuring 3OH!3,2010-06-25
To Sir With Love,Glee Cast,2010-06-25
Bohemian Rhapsody,Glee Cast Featuring Jonathan Groff,2010-06-25
Half Of My Heart,John Mayer,2010-06-25
Wavin' Flag,K'Naan,2010-06-25
If It's Love,Train,2010-06-25
Secrets,OneRepublic,2010-06-25
Up All Night,Drake Featuring Nicki Minaj,2010-07-02
9 AM In Dallas,Drake,2010-07-02
Fireworks,Drake Featuring Alicia Keys,2010-07-02
Another Way To Die,Disturbed,2010-07-02
Double Vision,3OH!3,2010-07-02
Pretty Boy Swag,Soulja Boy Tell'em,2010-07-02
143,Bobby Brackins Featuring Ray J,2010-07-02
Lay Me Down,The Dirty Heads Featuring Rome,2010-07-02
Finding My Way Back,Jaheim,2010-07-02
Farmer's Daughter,Rodney Atkins,2010-07-02
This Ain't Nothin',Craig Morgan,2010-07-02
All About Tonight,Blake Shelton,2010-07-02
Fancy,Drake Featuring T.I. & Swizz Beatz,2010-07-02
Love The Way You Lie,Eminem Featuring Rihanna,2010-07-09
No Love,Eminem Featuring Lil Wayne,2010-07-09
Round & Round,Selena Gomez & The Scene,2010-07-09
Misery,Maroon 5,2010-07-09
King Of Anything,Sara Bareilles,2010-07-09
Won't Back Down,Eminem Featuring P!nk,2010-07-09
Cold Wind Blows,Eminem,2010-07-09
Stay,Miley Cyrus,2010-07-09
Talkin' 2 Myself,Eminem Featuring Kobe,2010-07-09
25 To Life,Eminem,2010-07-09
If I Had You,Adam Lambert,2010-07-09
POWER,Kanye West,2010-07-16
Jar Of Hearts,Christina Perri,2010-07-16
Club Can't Handle Me,Flo Rida Featuring David Guetta,2010-07-16
Outta Your Mind,Lil Jon Featuring LMFAO,2010-07-16
Deuces,Chris Brown Featuring Tyga & Kevin McCall,2010-07-16
We'll Be A Dream,WE the Kings Featuring Demi Lovato,2010-07-16
All Over Me,Josh Turner,2010-07-16
Cuando Me Enamoro,Enrique Iglesias Featuring Juan Luis Guerra,2010-07-16
I Can Do Anything,3OH!3,2010-07-16
If I Die Young,The Band Perry,2010-07-23
Bittersweet,Fantasia,2010-07-23
B.M.F. (Blowin' Money Fast),Rick Ross Featuring Styles P,2010-07-23
Up On The Ridge,Dierks Bentley,2010-07-23
DJ Got Us Fallin' In Love,Usher Featuring Pitbull,2010-07-30
Come Back Song,Darius Rucker,2010-07-30
Break My Bank,New Boyz Featuring Iyaz,2010-07-30
La La La,Auburn Featuring Iyaz,2010-07-30
Opposite Of Adults,Chiddy Bang,2010-07-30
Ordinary Girl,Hannah Montana,2010-07-30
Love All Over Me,Monica,2010-07-30
Roll With It,Easton Corbin,2010-07-30
Mockingbird,Rob Thomas,2010-07-30
Teenage Dream,Katy Perry,2010-08-06
Just The Way You Are,Bruno Mars,2010-08-06
Champagne Life,Ne-Yo,2010-08-06
Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,2010-08-06
Stuck Like Glue,Sugarland,2010-08-13
G.R.I.N.D. (Get Ready It's A New Day),Asher Roth,2010-08-13
The Boys of Fall,Kenny Chesney,2010-08-13
The Crow & The Butterfly,Shinedown,2010-08-13
Rockstar 101,Rihanna Featuring Slash,2010-08-13
Mine,Taylor Swift,2010-08-20
The Catalyst,Linkin Park,2010-08-20
Letting Go (Dutty Love),Sean Kingston Featuring Nicki Minaj,2010-08-20
2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,2010-08-20
Not Like The Movies,Katy Perry,2010-08-20
September,Daughtry,2010-08-20
The Man Who Can't Be Moved,The Script,2010-08-20
Bottoms Up,Trey Songz Featuring Nicki Minaj,2010-08-27
Circle The Drain,Katy Perry,2010-08-27
As She's Walking Away,Zac Brown Band Featuring Alan Jackson,2010-08-27
Bed Intruder Song,Antoine Dodson & The Gregory Brothers Featuring Kelly Dodson,2010-08-27
Like A G6,Far*East Movement Featuring Cataracs & Dev,2010-08-27
Rhythm of Love,Plain White T's,2010-08-27
Love Like Woe,The Ready Set,2010-08-27
Little Lion Man,Mumford & Sons,2010-08-27
Hot Tottie,Usher Featuring Jay-Z,2010-08-27
Right Above It,Lil Wayne Featuring Drake,2010-09-03
Just A Dream,Nelly,2010-09-03
E.T.,Katy Perry Featuring Kanye West,2010-09-03
Why Wait,Rascal Flatts,2010-09-03
Give A Little More,Maroon 5,2010-09-03
Black Rain,Soundgarden,2010-09-03
Erase Me,Kid Cudi Featuring Kanye West,2010-09-10
My Kinda Party,Jason Aldean,2010-09-10
Last Friday Night (T.G.I.F.),Katy Perry,2010-09-10
Toot It And Boot It,YG,2010-09-10
F**k You! (Forget You),CeeLo Green,2010-09-10
Trailerhood,Toby Keith,2010-09-10
Holding You Down (Goin In Circles),Jazmine Sullivan,2010-09-10
Way Out Here,Josh Thompson,2010-09-10
The Breath You Take,George Strait,2010-09-17
Only Prettier,Miranda Lambert,2010-09-17
Anything Like Me,Brad Paisley,2010-09-17
A Year Without Rain,Selena Gomez & The Scene,2010-09-24
No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,2010-09-24
Hollywood,Michael Buble,2010-09-24
Only Girl (In The World),Rihanna,2010-09-24
Check It Out,will.i.am & Nicki Minaj,2010-09-24
Dumb Love,Sean Kingston,2010-09-24
Introducing Me,Nick Jonas,2010-09-24
Dog Days Are Over,Florence + The Machine,2010-09-24
Radioactive,Kings Of Leon,2010-10-01
Can't Be Friends,Trey Songz,2010-10-01
Put You In A Song,Keith Urban,2010-10-01
We No Speak Americano,Yolanda Be Cool & Dcup,2010-10-01
All I Want Is You,Miguel Featuring J. Cole,2010-10-01
Turn On The Radio,Reba,2010-10-01
Waiting For The End,Linkin Park,2010-10-01
Smoke A Little Smoke,Eric Church,2010-10-01
Black And Yellow,Wiz Khalifa,2010-10-01
Empire State Of Mind,Glee Cast,2010-10-08
Telephone,Glee Cast,2010-10-08
Billionaire,Glee Cast,2010-10-08
Listen,Glee Cast,2010-10-08
What I Did For Love,Glee Cast,2010-10-08
Angel,Akon,2010-10-08
Stutter,Maroon 5,2010-10-08
Shake,Jesse McCartney,2010-10-08
Loving You No More,Diddy - Dirty Money Featuring Drake,2010-10-08
Please Don't Go,Mike Posner,2010-10-08
Toxic,Glee Cast,2010-10-15
Gonorrhea,Lil Wayne Featuring Drake,2010-10-15
The Only Exception,Glee Cast,2010-10-15
What's Wrong With Them,Lil Wayne Featuring Nicki Minaj,2010-10-15
Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,2010-10-15
I'm A Slave 4 U,Glee Cast,2010-10-15
Stronger,Glee Cast,2010-10-15
Baby One More Time,Glee Cast,2010-10-15
Me Against The Music,Glee Cast,2010-10-15
I Am Not A Human Being,Lil Wayne,2010-10-15
Right Thru Me,Nicki Minaj,2010-10-15
Bill Gates,Lil Wayne,2010-10-15
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,2010-10-15
Grenade,Bruno Mars,2010-10-15
Mama's Song,Carrie Underwood,2010-10-15
Hope She Cheats On You (With A Basketball Player),Marsha Ambrosius,2010-10-15
Speak Now,Taylor Swift,2010-10-22
Runaway,Kanye West Featuring Pusha T,2010-10-22
I Want To Hold Your Hand,Glee Cast,2010-10-22
One Of Us,Glee Cast,2010-10-22
Only The Good Die Young,Glee Cast,2010-10-22
Raise Your Glass,P!nk,2010-10-22
Losing My Religion,Glee Cast,2010-10-22
Papa Can You Hear Me?,Glee Cast,2010-10-22
Bridge Over Troubled Water,Glee Cast,2010-10-22
I Look To You,Glee Cast,2010-10-22
The Lazy Song,Bruno Mars,2010-10-22
Like We Used To,A Rocket To The Moon,2010-10-22
Stereo Love,Edward Maya & Vika Jigulina,2010-10-22
Memories,David Guetta Featuring Kid Cudi,2010-10-22
Loca,Shakira Featuring El Cata or Dizzee Rascal,2010-10-22
Back To December,Taylor Swift,2010-10-29
Lucky,Glee Cast,2010-10-29
"River Deep, Mountain High",Glee Cast,2010-10-29
Happy Days Are Here Again / Get Happy,Glee Cast,2010-10-29
Don't Go Breaking My Heart,Glee Cast,2010-10-29
Move That Body,Nelly Featuring T-Pain & Akon,2010-10-29
Little Miss,Sugarland,2010-10-29
This,Darius Rucker,2010-10-29
Sing!,Glee Cast,2010-10-29
Le Jazz Hot,Glee Cast,2010-10-29
This Ain't No Love Song,Trace Adkins,2010-10-29
Mean,Taylor Swift,2010-11-05
Firework,Katy Perry,2010-11-05
Gonna Get This,Hannah Montana Featuring Iyaz,2010-11-05
Whip My Hair,WILLOW,2010-11-05
Monster,"Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj",2010-11-05
The End,Kings Of Leon,2010-11-05
What's My Name?,Rihanna Featuring Drake,2010-11-05
Rap Song,T-Pain Featuring Rick Ross,2010-11-05
Porn Star Dancing,My Darkest Days Featuring Zakk Wylde,2010-11-05
Lay It Down,Lloyd,2010-11-05
Tighten Up,The Black Keys,2010-11-05
Strip Me,Natasha Bedingfield,2010-11-05
We R Who We R,Ke$ha,2010-11-12
Sparks Fly,Taylor Swift,2010-11-12
Innocent,Taylor Swift,2010-11-12
Yeah 3X,Chris Brown,2010-11-12
The Story Of Us,Taylor Swift,2010-11-12
Dear John,Taylor Swift,2010-11-12
Better Than Revenge,Taylor Swift,2010-11-12
Haunted,Taylor Swift,2010-11-12
Last Kiss,Taylor Swift,2010-11-12
I Won't Let Go,Rascal Flatts,2010-11-12
Enchanted,Taylor Swift,2010-11-12
Mr. Rager,Kid Cudi,2010-11-12
Never Grow Up,Taylor Swift,2010-11-12
Long Live,Taylor Swift,2010-11-12
Time Warp,Glee Cast,2010-11-12
One In A Million,Ne-Yo,2010-11-12
Someone Else Calling You Baby,Luke Bryan,2010-11-12
Felt Good On My Lips,Tim McGraw,2010-11-19
Sleazy Remix 2.0 Get Sleazier,"Ke$ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000",2010-11-19
Roman's Revenge,Nicki Minaj Featuring Eminem,2010-11-19
"Bon, Bon",Pitbull,2010-11-19
Somewhere With You,Kenny Chesney,2010-11-19
Get Back Up,T.I. Featuring Chris Brown,2010-11-19
Lo Mejor De Mi Vida Eres Tu,Ricky Martin Featuring Natalia Jimenez,2010-11-19
Sick,New Hollow,2010-11-19
Voices,Chris Young,2010-11-19
Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,2010-11-19
Bullets In The Gun,Toby Keith,2010-11-19
The Big Bang,ROCKMAFIA,2010-11-19
Who Are You When I'm Not Looking,Blake Shelton,2010-11-19
Teenage Dream,Glee Cast,2010-11-26
The Time (Dirty Bit),The Black Eyed Peas,2010-11-26
Start Me Up / Livin' On A Prayer,Glee Cast,2010-11-26
Stop! In The Name Of Love / Free Your Mind,Glee Cast,2010-11-26
One Love (People Get Ready),Glee Cast,2010-11-26
Marijuana,Kid Cudi,2010-11-26
The Show Goes On,Lupe Fiasco,2010-11-26
