song,artist,date,loveSong
Body 2 Body,Ace Hood Featuring Chris Brown,30/9/2011,0
Bugatti,Ace Hood Featuring Future & Rick Ross,1/3/2013,0
Baby Blue,Action Bronson Featuring Chance The Rapper,10/4/2015,1
Whataya Want From Me,Adam Lambert,1/1/2010,0
Better Than I Know Myself,Adam Lambert,6/1/2012,1
Ghost Town,Adam Lambert,3/7/2015,1
Man In The Mirror,Adam Levine & Javier Colon,15/7/2011,0
Lonesome Broken And Blue,Adam Wakefield,10/6/2016,1
Rolling In The Deep,Adele,24/12/2010,1
Someone Like You,Adele,11/3/2011,1
Set Fire To The Rain,Adele,11/3/2011,1
Turning Tables,Adele,6/5/2011,1
Rumour Has It,Adele,12/8/2011,1
Skyfall,Adele,19/10/2012,0
Hello,Adele,13/11/2015,1
When We Were Young,Adele,11/12/2015,1
Water Under The Bridge,Adele,11/12/2015,1
Send My Love (To Your New Lover),Adele,11/12/2015,1
Remedy,Adele,11/12/2015,1
All I Ask,Adele,4/3/2016,1
As Your Friend,Afrojack Featuring Chris Brown,8/3/2013,1
Take Over Control,Afrojack Featuring Eva Simons,1/7/2011,0
Ten Feet Tall,Afrojack Featuring Wrabel,18/7/2014,1
I'm Ready,AJR,20/6/2014,0
Weak,AJR,28/4/2017,1
Burn The House Down,AJR,30/11/2018,0
Bang!,AJR,3/7/2020,0
Angel,Akon,8/10/2010,1
Hold On,Alabama Shakes,1/3/2013,0
Faded,Alan Walker,29/4/2016,1
Let Me Down Slowly,Alec Benjamin + Alessia Cara,25/1/2019,1
Here,Alessia Cara,21/8/2015,0
Wild Things,Alessia Cara,11/3/2016,0
Scars To Your Beautiful,Alessia Cara,16/9/2016,0
How Far I'll Go,Alessia Cara,16/12/2016,0
Growing Pains,Alessia Cara,13/7/2018,0
Heroes (We Could Be),Alesso Featuring Tove Lo,17/10/2014,0
Too Close,Alex Clare,6/4/2012,1
Mr. Saxobeat,Alexandra Stan,29/7/2011,0
It's You,Ali Gatie,28/6/2019,1
What If I Told You That I Love You,Ali Gatie,7/2/2020,1
No Roots,Alice Merton,6/4/2018,0
Try Sleeping With A Broken Heart,Alicia Keys,1/1/2010,1
Empire State Of Mind (Part II) Broken Down,Alicia Keys,1/1/2010,0
Un-Thinkable (I'm Ready),Alicia Keys,23/4/2010,1
Underdog,Alicia Keys,7/2/2020,0
Show Me Love,Alicia Keys Featuring Miguel,22/11/2019,1
Girl On Fire,Alicia Keys Featuring Nicki Minaj,21/9/2012,0
Chinese Food,Alison Gold,1/11/2013,0
The Man,Aloe Blacc,27/12/2013,0
New Morning,Alpha Rev,14/5/2010,1
Left Hand Free,alt-J,10/10/2014,1
Uno,Ambjaay,16/8/2019,0
Best Day Of My Life,American Authors,29/11/2013,0
Caroline,Amine,23/9/2016,0
Gone Too Soon,Andrew Jannakos,25/9/2020,1
Cecilia And The Satellite,Andrew McMahon In The Wilderness,11/9/2015,1
Keep Your Head Up,Andy Grammer,17/6/2011,0
Fine By Me,Andy Grammer,20/4/2012,1
"Honey, I'm Good.",Andy Grammer,27/2/2015,0
Good To Be Alive (Hallelujah),Andy Grammer,1/1/2016,0
Fresh Eyes,Andy Grammer,21/10/2016,1
Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,11/1/2013,0
I Dreamed A Dream,Anne Hathaway,11/1/2013,0
Yellow Hearts,Ant Saunders,22/11/2019,1
Bed Intruder Song,Antoine Dodson & The Gregory Brothers Featuring Kelly Dodson,27/8/2010,0
Reflektor,Arcade Fire,27/9/2013,1
Do I Wanna Know?,Arctic Monkeys,20/12/2013,1
Baby I,Ariana Grande,9/8/2013,0
Last Christmas,Ariana Grande,6/12/2013,1
Santa Tell Me,Ariana Grande,12/12/2014,0
One Last Time,Ariana Grande,27/2/2015,1
Focus,Ariana Grande,20/11/2015,0
Dangerous Woman,Ariana Grande,1/4/2016,0
Be Alright,Ariana Grande,8/4/2016,1
Into You,Ariana Grande,27/5/2016,1
No Tears Left To Cry,Ariana Grande,4/5/2018,1
God Is A Woman,Ariana Grande,27/7/2018,0
Breathin,Ariana Grande,31/8/2018,1
Sweetener,Ariana Grande,31/8/2018,1
Everytime,Ariana Grande,31/8/2018,1
R.E.M,Ariana Grande,31/8/2018,1
Goodnight N Go,Ariana Grande,31/8/2018,1
Pete Davidson,Ariana Grande,31/8/2018,1
"Thank U, Next",Ariana Grande,16/11/2018,1
Imagine,Ariana Grande,28/12/2018,1
7 Rings,Ariana Grande,1/2/2019,0
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,22/2/2019,0
Needy,Ariana Grande,22/2/2019,1
NASA,Ariana Grande,22/2/2019,1
Bloodline,Ariana Grande,22/2/2019,0
Ghostin,Ariana Grande,22/2/2019,1
Fake Smile,Ariana Grande,22/2/2019,0
Bad Idea,Ariana Grande,22/2/2019,0
In My Head,Ariana Grande,22/2/2019,1
Make Up,Ariana Grande,22/2/2019,1
Positions,Ariana Grande,6/11/2020,1
34+35,Ariana Grande,13/11/2020,0
pov,Ariana Grande,13/11/2020,1
Just Like Magic,Ariana Grande,13/11/2020,0
Shut Up,Ariana Grande,13/11/2020,0
Nasty,Ariana Grande,13/11/2020,0
Six Thirty,Ariana Grande,13/11/2020,1
My Hair,Ariana Grande,13/11/2020,0
Obvious,Ariana Grande,13/11/2020,1
West Side,Ariana Grande,13/11/2020,1
Love Language,Ariana Grande,13/11/2020,1
Beauty And The Beast,Ariana Grande & John Legend,24/2/2017,1
Stuck With U,Ariana Grande & Justin Bieber,22/5/2020,1
Almost Is Never Enough,Ariana Grande & Nathan Sykes,6/9/2013,1
Boyfriend,Ariana Grande & Social House,16/8/2019,1
Love Me Harder,Ariana Grande & The Weeknd,24/10/2014,1
Monopoly,Ariana Grande & Victoria Monet,12/4/2019,0
Right There,Ariana Grande Featuring Big Sean,23/8/2013,1
Best Mistake,Ariana Grande Featuring Big Sean,29/8/2014,1
Motive,Ariana Grande Featuring Doja Cat,13/11/2020,0
Everyday,Ariana Grande Featuring Future,3/3/2017,0
Problem,Ariana Grande Featuring Iggy Azalea,16/5/2014,0
Let Me Love You,Ariana Grande Featuring Lil Wayne,6/5/2016,1
The Way,Ariana Grande Featuring Mac Miller,12/4/2013,1
Side To Side,Ariana Grande Featuring Nicki Minaj,16/9/2016,0
Off The Table,Ariana Grande Featuring The Weeknd,13/11/2020,1
Safety Net,Ariana Grande Featuring Ty Dolla $ign,13/11/2020,1
Break Free,Ariana Grande Featuring Zedd,18/7/2014,1
Don't Call Me Angel (Charlie's Angels),"Ariana Grande, Miley Cyrus & Lana Del Rey",27/9/2019,0
Sexy People (The Fiat Song),Arianna Featuring Pitbull,17/5/2013,0
Roxanne,Arizona Zervas,15/11/2019,0
This Is What It Feels Like,Armin van Buuren Featuring Trevor Guthrie,4/10/2013,1
Moral Of The Story,Ashe Featuring Niall Horan,6/3/2020,1
G.R.I.N.D. (Get Ready It's A New Day),Asher Roth,13/8/2010,0
One Night Standards,Ashley McBryde,19/6/2020,0
Look It Up,Ashton Shepherd,3/6/2011,0
Out The Speakers,A-Trak + Milo & Otis Featuring Rich Kidz,20/2/2015,0
La La La,Auburn Featuring Iyaz,30/7/2010,0
No Love,August Alsina,3/10/2014,0
I Luv This Sh*t,August Alsina Featuring Trinidad James,20/9/2013,0
How Far I'll Go,Auli'i Cravalho,16/12/2016,0
What About Love,Austin Mahone,28/6/2013,1
Mmm Yeah,Austin Mahone Featuring Pitbull,7/2/2014,0
Sweet But Psycho,Ava Max,28/12/2018,0
Kings & Queens,Ava Max,21/8/2020,0
Nightmare,Avenged Sevenfold,4/6/2010,0
Not Ready To Die,Avenged Sevenfold,20/5/2011,0
Hail To The King,Avenged Sevenfold,2/8/2013,0
Levels,Avicii,2/12/2011,0
Wake Me Up!,Avicii,12/7/2013,0
You Make Me,Avicii,4/10/2013,1
Hey Brother,Avicii,20/12/2013,0
The Days,Avicii,24/10/2014,0
Heaven,Avicii,21/6/2019,0
Alice,Avril Lavigne,19/3/2010,0
What The Hell,Avril Lavigne,28/1/2011,1
Wish You Were Here,Avril Lavigne,25/3/2011,1
Smile,Avril Lavigne,22/7/2011,1
Here's To Never Growing Up,Avril Lavigne,26/4/2013,0
Rock N Roll,Avril Lavigne,13/9/2013,0
Hello Kitty,Avril Lavigne,9/5/2014,0
Head Above Water,Avril Lavigne,5/10/2018,0
Let Me Go,Avril Lavigne Featuring Chad Kroeger,1/11/2013,1
Sail,AWOLNATION,2/9/2011,0
Rolex,Ayo & Teo,3/3/2017,0
Don't Let Me Fall,B.o.B,23/4/2010,1
I Am The Champion,B.o.B,7/1/2011,0
So Good,B.o.B,9/3/2012,0
HeadBand,B.o.B Featuring 2 Chainz,7/6/2013,
Play The Guitar,B.o.B Featuring Andre 3000,13/1/2012,
Nothin' On You,B.o.B Featuring Bruno Mars,12/2/2010,1
Airplanes,B.o.B Featuring Hayley Williams,30/4/2010,0
Strange Clouds,B.o.B Featuring Lil Wayne,14/10/2011,
John Doe,B.o.B Featuring Priscilla,11/4/2014,
Magic,B.o.B Featuring Rivers Cuomo,14/5/2010,0
We Still In This B****,B.o.B Featuring T.I. & Juicy J,25/1/2013,
Bet I,B.o.B Featuring T.I. & Playboy Tre,7/5/2010,0
Both Of Us,B.o.B Featuring Taylor Swift,18/5/2012,
Not For Long,B.o.B Featuring Trey Songz,23/1/2015,
Harlem Shake,Baauer,1/3/2013,
ORANGE SODA,Baby Keem,17/1/2020,
Don't Go Breaking My Heart,Backstreet Boys,1/6/2018,
Fast Lane,Bad Meets Evil,20/5/2011,
Lighters,Bad Meets Evil Featuring Bruno Mars,1/7/2011,
Zombie,Bad Wolves,23/3/2018,
Do They Know It's Christmas? (2014),Band Aid 30,5/12/2014,
Nasty,Bandit Gang Marco Featuring Dro,8/5/2015,
I'd Just Love To Lay You Down,Barrett Baber,18/12/2015,
Pompeii,Bastille,30/8/2013,0
Bad Blood,Bastille,25/4/2014,1
Mine,Bazzi,2/2/2018,
Paradise,Bazzi,17/5/2019,
Beautiful,Bazzi Featuring Camila Cabello,17/8/2018,
Fire N Gold,Bea Miller,14/8/2015,
I Got You,Bebe Rexha,20/1/2017,
I'm A Mess,Bebe Rexha,27/7/2018,
Last Hurrah,Bebe Rexha,5/4/2019,
Meant To Be,Bebe Rexha & Florida Georgia Line,10/11/2017,
"Baby, I'm Jealous",Bebe Rexha Featuring Doja Cat,23/10/2020,
Shower,Becky G,20/6/2014,
Can't Stop Dancin',Becky G,9/1/2015,
Sin Pijama,Becky G + Natti Natasha,15/6/2018,
Mayores,Becky G Featuring Bad Bunny,3/11/2017,
TTYLXOX,Bella Thorne,30/3/2012,
Watch Me,Bella Thorne & Zendaya,8/7/2011,
Might Not,Belly Featuring The Weeknd,11/3/2016,
Brand New,Ben Rector,22/7/2016,
Supalonely,BENEE Featuring Gus Dapperton,27/3/2020,
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,11/1/2019,
Eastside,"benny blanco, Halsey & Khalid",27/7/2018,
I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin",15/3/2019,
Sweet Dreams,Beyonce,1/1/2010,1
Run The World (Girls),Beyonce,6/5/2011,0
1+1,Beyonce,10/6/2011,
Best Thing I Never Had,Beyonce,17/6/2011,
Love On Top,Beyonce,16/9/2011,
Countdown,Beyonce,28/10/2011,
Dance For You,Beyonce,21/9/2012,
Get Me Bodied,Beyonce,22/11/2013,
XO,Beyonce,3/1/2014,
Partition,Beyonce,24/1/2014,
7-Nov,Beyonce,12/12/2014,
Formation,Beyonce,13/5/2016,
Sorry,Beyonce,13/5/2016,
Hold Up,Beyonce,13/5/2016,
Pray You Catch Me,Beyonce,13/5/2016,
All Night,Beyonce,13/5/2016,
Daddy Lessons,Beyonce,13/5/2016,
Sandcastles,Beyonce,13/5/2016,
Love Drought,Beyonce,13/5/2016,
Before I Let Go,Beyonce,3/5/2019,
Spirit,Beyonce,26/7/2019,
Black Parade,Beyonce,3/7/2020,
Party,Beyonce Featuring Andre 3000,21/10/2011,
Mine,Beyonce Featuring Drake,3/1/2014,
Don't Hurt Yourself,Beyonce Featuring Jack White,13/5/2016,
Forward,Beyonce Featuring James Blake,13/5/2016,
Drunk In Love,Beyonce Featuring Jay Z,3/1/2014,1
Freedom,Beyonce Featuring Kendrick Lamar,13/5/2016,
Video Phone,Beyonce Featuring Lady Gaga,1/1/2010,0
***Flawless,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,12/9/2014,
6 Inch,Beyonce Featuring The Weeknd,13/5/2016,
Mood 4 Eva,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",2/8/2019,
Brown Skin Girl,"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",2/8/2019,
These Heaux,Bhad Bhabie,22/9/2017,
Hi Bich,Bhad Bhabie,20/10/2017,
Gucci Flip Flops,Bhad Bhabie Featuring Lil Yachty,18/5/2018,
That's Why I Pray,Big & Rich,27/7/2012,
Look At You,Big & Rich,19/9/2014,
Guap,Big Sean,28/12/2012,
Paradise,Big Sean,13/3/2015,
Bounce Back,Big Sean,25/11/2016,
Moves,Big Sean,13/1/2017,
Halfway Off The Balcony,Big Sean,24/2/2017,
Jump Out The Window,Big Sean,24/2/2017,
Owe Me,Big Sean,24/2/2017,
Single Again,Big Sean,9/8/2019,
Why Would I Stop?,Big Sean,18/9/2020,
Pull Up N Wreck,Big Sean & Metro Boomin Featuring 21 Savage,24/11/2017,
Go Legend,Big Sean & Metro Boomin Featuring Travis Scott,29/12/2017,
Bezerk,Big Sean Featuring A$AP Ferg & Hit-Boy,13/9/2019,
My Last,Big Sean Featuring Chris Brown,18/3/2011,
Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign,17/7/2015,
Blessings,Big Sean Featuring Drake,20/2/2015,
I Don't F**k With You,Big Sean Featuring E-40,10/10/2014,
No Favors,Big Sean Featuring Eminem,24/2/2017,
Light,Big Sean Featuring Jeremih,24/2/2017,
All Your Fault,Big Sean Featuring Kanye West,13/3/2015,
One Man Can Change The World,Big Sean Featuring Kanye West & John Legend,13/3/2015,
Marvin & Chardonnay,Big Sean Featuring Kanye West & Roscoe Dash,5/8/2011,
Beware,Big Sean Featuring Lil Wayne & Jhene Aiko,12/7/2013,
Sacrifices,Big Sean Featuring Migos,24/2/2017,
Dance (A$$),Big Sean Featuring Nicki Minaj,21/10/2011,
Deep Reverence,Big Sean Featuring Nipsey Hussle,18/9/2020,
Wolves,Big Sean Featuring Post Malone,18/9/2020,
Lithuania,Big Sean Featuring Travis Scott,18/9/2020,
Body Language,Big Sean Featuring Ty Dolla $ign & Jhene Aiko,18/9/2020,
High,Big Sean Featuring Wiz Khalifa,15/7/2011,
Halfway There,Big Time Rush,14/5/2010,0
Big Night,Big Time Rush,14/1/2011,
Boyfriend,Big Time Rush,11/3/2011,
Windows Down,Big Time Rush,13/7/2012,
You Should See Me In A Crown,Billie Eilish,3/8/2018,0
When The Party's Over,Billie Eilish,2/11/2018,0
Ocean Eyes,Billie Eilish,30/11/2018,
Come Out And Play,Billie Eilish,7/12/2018,
idontwannabeyouanymore,Billie Eilish,11/1/2019,
Bury A Friend,Billie Eilish,8/2/2019,0
Wish You Were Gay,Billie Eilish,15/3/2019,1
Bad Guy,Billie Eilish,12/4/2019,0
Xanny,Billie Eilish,12/4/2019,
My Strange Addiction,Billie Eilish,12/4/2019,
All The Good Girls Go To Hell,Billie Eilish,12/4/2019,
I Love You,Billie Eilish,12/4/2019,
Ilomilo,Billie Eilish,12/4/2019,
Listen Before I Go,Billie Eilish,12/4/2019,
8,Billie Eilish,12/4/2019,
Everything I Wanted,Billie Eilish,22/11/2019,1
No Time To Die,Billie Eilish,28/2/2020,
My Future,Billie Eilish,14/8/2020,0
Therefore I Am,Billie Eilish,20/11/2020,0
Lovely,Billie Eilish & Khalid,8/6/2018,
That's How Country Boys Roll,Billy Currington,1/1/2010,0
Pretty Good At Drinkin' Beer,Billy Currington,18/6/2010,0
Let Me Down Easy,Billy Currington,10/12/2010,
Love Done Gone,Billy Currington,1/7/2011,
Hey Girl,Billy Currington,17/5/2013,
We Are Tonight,Billy Currington,9/5/2014,
Don't It,Billy Currington,20/3/2015,
It Don't Hurt Like It Used To,Billy Currington,12/8/2016,
Do I Make You Wanna,Billy Currington,30/6/2017,
White Christmas,Bing Crosby,28/12/2018,
4 My Town (Play Ball),Birdman Featuring Drake & Lil Wayne,9/4/2010,0
Fire Flame,Birdman Featuring Lil Wayne,17/12/2010,
Money To Blow,Birdman Featuring Lil Wayne & Drake,1/1/2010,0
Y.U. Mad,Birdman Featuring Nicki Minaj & Lil Wayne,7/10/2011,
Booty,Blac Youngsta,9/3/2018,
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,29/11/2019,
Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul",19/6/2020,
Do Re Mi,blackbear,12/5/2017,
Hot Girl Bummer,blackbear,27/9/2019,
All About Tonight,Blake Shelton,2/7/2010,0
Who Are You When I'm Not Looking,Blake Shelton,19/11/2010,1
Honey Bee,Blake Shelton,22/4/2011,
God Gave Me You,Blake Shelton,29/7/2011,
Footloose,Blake Shelton,25/11/2011,
Drink On It,Blake Shelton,10/2/2012,
Over,Blake Shelton,29/6/2012,
Sure Be Cool If You Did,Blake Shelton,25/1/2013,
Mine Would Be You,Blake Shelton,16/8/2013,
Doin' What She Likes,Blake Shelton,31/1/2014,
Neon Light,Blake Shelton,5/9/2014,
Sangria,Blake Shelton,1/5/2015,
Gonna,Blake Shelton,2/10/2015,
Came Here To Forget,Blake Shelton,25/3/2016,
She's Got A Way With Words,Blake Shelton,15/7/2016,
A Guy With A Girl,Blake Shelton,2/12/2016,
Every Time I Hear That Song,Blake Shelton,26/5/2017,
I'll Name The Dogs,Blake Shelton,29/9/2017,
I Lived It,Blake Shelton,16/3/2018,
God's Country,Blake Shelton,12/4/2019,
I Won't Back Down,Blake Shelton & Dia Frampton,15/7/2011,
Nobody But You,Blake Shelton Duet With Gwen Stefani,27/12/2019,
Lonely Tonight,Blake Shelton Featuring Ashley Monroe,19/12/2014,
My Eyes,Blake Shelton Featuring Gwen Sebastian,16/5/2014,
Go Ahead And Break My Heart,Blake Shelton Featuring Gwen Stefani,27/5/2016,
Happy Anywhere,Blake Shelton Featuring Gwen Stefani,7/8/2020,
Boys 'round Here,Blake Shelton Featuring Pistol Annies & Friends,12/4/2013,
Hillbilly Bone,Blake Shelton Featuring Trace Adkins,8/1/2010,0
Hell Right,Blake Shelton Featuring Trace Adkins,29/11/2019,
The Git Up,Blanco Brown,21/6/2019,
Up All Night,Blink-182,29/7/2011,
After Midnight,Blink-182,14/10/2011,
Bored To Death,Blink-182,22/7/2016,
Look Alive,BlocBoy JB Featuring Drake,23/2/2018,
Thotiana,Blueface,25/1/2019,
Daddy,Blueface & Rich The Kid,9/8/2019,
143,Bobby Brackins Featuring Ray J,2/7/2010,0
Jingle Bell Rock,Bobby Helms,8/1/2016,
Hot Boy,Bobby Shmurda,15/8/2014,
Bobby Bitch,Bobby Shmurda,31/10/2014,
